message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,verified business update matching user's active order/booking/appointment,0.95,message_0101;message_0102;message_0243
msg_091,mute,scam,suspicious link for password verification,0.95,message_0238;message_0381
msg_090,digest,personal,"casual update, no urgency",0.95,none
msg_048,mute,scam,"Suspicious QR link for payment, user has history of dismissing similar messages",0.93,message_0099;message_0100
msg_040,digest,forward,user has history of ignoring similar messages,0.95,message_0135;message_0136
msg_075,notify,business_update,verified business update matching user's active order/booking/appointment,0.95,message_0205;message_0206
msg_005,digest,event,"low-priority group chat, casual update",0.95,message_0049;message_0065;message_0066
msg_104,digest,personal,low-priority personal message,0.7,message_0050;message_0115;message_0116
msg_069,digest,greeting,"forwarded chain message, user has history of dismissing similar messages",0.95,message_0042;message_0079;message_0080
msg_107,mute,scam,prompt injection and OTP request,0.95,message_0023;message_0045;message_0053
msg_070,mute,scam,suspicious link asking for OTP,0.95,message_0023;message_0045;message_0053
msg_003,notify,business_update,verified business update matching user's active order/booking/appointment,0.95,message_0031;message_0061
msg_099,digest,personal,Coworker shared non-urgent notes for tomorrow's standup.,0.82,message_0227;message_0055
msg_008,digest,business_update,low-priority business update from verified business with recent product purchase history,0.95,message_0071;message_0072;message_0296
msg_092,notify,business_update,verified business update matching user's active order/booking/appointment,0.95,none
msg_060,digest,event,low-priority group chat,0.7,message_0176
msg_004,notify,business_update,verified business update matching user's active order/booking/appointment,0.95,message_0005;message_0063;message_0064
msg_030,digest,promotion,"low-priority group chat, forwarded message, and user has history of dismissing similar messages",0.95,message_0025;message_0050;message_0115
msg_045,digest,event,low-priority group chat,0.7,none
msg_052,digest,business_update,"low-priority business update, user opted out of promotional messages is not relevant here, but user has history of dismi",0.8,message_0159;message_0160;message_0207
msg_009,digest,unknown,low-priority group chat,0.7,none
msg_071,digest,unknown,low-priority group chat,0.7,none
msg_016,mute,scam,suspicious link and repeated attempts to verify account,0.93,message_0024;message_0087;message_0088
msg_065,digest,promotion,"low-priority group chat, user opted out is False, and user has opened similar messages from this sender before",0.95,message_0185;message_0186;message_0261
msg_038,digest,forward,user has history of ignoring similar messages,0.95,message_0131;message_0132
msg_086,notify,event,verified business update matching user's active order/booking/appointment,0.95,message_0222
msg_014,digest,promotion,user opted out of promotions from this business,0.95,message_0017;message_0018;message_0083
msg_094,digest,promotion,low-priority group chat,0.7,none
msg_029,digest,promotion,Marketplace listing for kurta set; similar posts seen before.,0.83,message_0049;message_0065;message_0095
